PassengerId,Survived,Pclass,Sex,SibSp,Parch,Age,Boarded,Destination,Class
381,1,1,female,0,0,46,Cherbourg,"New York, New York, US",1
382,1,3,female,0,2,1,Cherbourg,"Waterbury, Connecticut, US",3
383,0,3,male,0,0,32,Southampton,New York City,3
384,1,1,female,1,0,35,Southampton,"New York, New York, US",1
385,0,3,male,0,0,27,Southampton,"Tulsa, Oklahoma, US",3
386,0,2,male,0,0,21,Southampton,"Eden, Manitoba, Canada",2
387,0,3,male,5,2,1,Southampton,"Niagara Falls, New York, US",3
388,1,2,female,0,0,36,Southampton,"San Francisco, US",2
389,0,3,male,0,0,20,Queenstown,"Lakewood Township, New Jersey, US",3
390,1,2,female,0,0,17,Cherbourg,"Central City, Iowa, US",2
391,1,1,male,1,2,36,Southampton,"Bryn Mawr, Pennsylvania, US",1
392,1,3,male,0,0,21,Southampton,"Swedeburg, Nebraska, US",3
393,0,3,male,2,0,28,Southampton,New York City,3
394,1,1,female,1,0,23,Cherbourg,"Lexington, Massachusetts, US",1
395,1,3,female,0,2,24,Southampton,"San Francisco, US",3
396,0,3,male,0,0,22,Southampton,"St. Paul, Minnesota, US",3
397,0,3,female,0,0,31,Southampton,"St. Paul, Minnesota, US",3
398,0,2,male,0,0,46,Southampton,"Rochester, New York, US",2
399,0,2,male,0,0,23,Southampton,"Hamilton, Ontario, Canada",2
400,1,2,female,0,0,26,Southampton,"Columbus, Ohio, US",2
401,1,3,male,0,0,39,Southampton,"Boston, Massachusetts, US",3
402,0,3,male,0,0,26,Southampton,"La Porte City, Iowa, US",3
403,0,3,female,1,0,21,Southampton,New York City,3
404,0,3,male,1,0,28,Southampton,"Monessen, Pennsylvania, US",3
405,0,3,female,0,0,20,Southampton,"Chicago, Illinois, US",3
406,0,2,male,1,0,33,Southampton,"Clear Creek, Colorado, US",2
407,0,3,male,0,0,51,Southampton,New York City,3
408,1,2,male,1,1,3,Southampton,"Akron, Ohio, US",2
409,0,3,male,0,0,21,Southampton,New York City,3
410,0,3,female,3,1,3,Southampton,"Mystic, Iowa, US",3
411,0,3,male,0,0,42,Southampton,"Chicago, Illinois, US",3
412,0,3,male,0,0,27,Queenstown,"Boston, Massachusetts, US",3
413,1,1,female,1,0,33,Southampton,"Fond du Lac, Wisconsin, US",1
414,0,2,male,0,0,21,Belfast,New York City,2
415,1,3,male,0,0,44,Southampton,"Cheyenne, Wyoming, US",3
416,0,3,female,0,0,31,Southampton,New York City,3
417,1,2,female,1,1,34,Southampton,"Greenport, New York, US",2
418,1,2,female,0,2,17,Southampton,"Minneapolis, Minnesota, US",2
419,0,2,male,0,0,30,Southampton,"La Salle, Illinois, US",2
