,PassengerId,Survived,Pclass,Sex,SibSp,Parch,Age,Boarded,Destination,Class
219,221,1,3,male,0,0,20.0,Southampton,"Cleveland, Ohio, US",3
220,222,0,2,male,0,0,29.0,Southampton,"Lake Arthur, New Mexico, US",2
221,223,0,3,male,0,0,40.0,Southampton,"Lead, South Dakota, US",3
222,224,0,3,male,0,0,22.0,Southampton,"Coon Rapids, Iowa, US",3
223,225,1,1,male,1,0,35.0,Southampton,"Stamford, Connecticut, US",1
224,226,0,3,male,0,0,22.0,Southampton,New York City,3
225,227,1,2,male,0,0,19.0,Southampton,"Long Island, New York, US",2
226,228,0,3,male,0,0,20.0,Southampton,New York City,3
227,229,0,2,male,0,0,18.0,Southampton,"Bayonne, New Jersey, US",2
228,230,0,3,female,3,1,12.0,Southampton,"Mystic, Iowa, US",3
229,231,1,1,female,1,0,35.0,Southampton,"New York, New York, US",1
230,232,0,3,male,0,0,29.0,Southampton,"Hartford, Connecticut, US",3
231,233,0,2,male,0,0,30.0,Southampton,"Sault Ste Marie, Michigan, US",2
232,234,1,3,female,4,2,5.0,Southampton,"Worcester, Massachusetts, US",3
233,235,0,2,male,0,0,25.0,Southampton,New York City,2
234,236,0,3,female,0,0,21.0,Southampton,"New London, Connecticut, US",3
235,237,0,2,male,1,0,44.0,Southampton,"Sacramento, California, US",2
236,238,1,2,female,0,2,8.0,Southampton,"Payette, Idaho, US",2
237,239,0,2,male,0,0,19.0,Southampton,"Butte, Montana, US",2
238,240,0,2,male,0,0,33.0,Southampton,"Philadelphia, Pennsylvania, US",2
239,241,0,3,female,1,0,19.0,Cherbourg,New York City,3
240,242,1,3,female,1,0,18.0,Queenstown,"Philadelphia, Pennsylvania, US",3
241,243,0,2,male,0,0,29.0,Southampton,"Detroit, Michigan, US",2
242,244,0,3,male,0,0,22.0,Southampton,"Sudbury, Ontario, Canada",3
243,245,0,3,male,0,0,30.0,Cherbourg,"Ottawa, Ontario, Canada",3
244,246,0,1,male,2,0,44.0,Southampton,"Fond du Lac, Wisconsin, US",1
245,247,0,3,female,0,0,25.0,Southampton,"Saranac Lake, New York, US",3
246,248,1,2,female,0,2,24.0,Southampton,"Detroit, Michigan, US",2
247,249,1,1,male,1,1,37.0,Southampton,"New York, New York, US",1
248,250,0,2,male,1,0,54.0,Southampton,New York City,2
249,251,0,3,male,0,0,19.0,Southampton,New York City,3
250,252,0,3,female,1,1,29.0,Southampton,"Indiana Harbor, Indiana, US",3
251,253,0,1,male,0,0,62.0,Southampton,"New York, New York, US",1
252,254,0,3,male,1,0,30.0,Southampton,"Scranton, Pennsylvania, US",3
253,255,0,3,female,0,2,41.0,Southampton,"Astoria, Oregon, US",3
254,256,1,3,female,0,2,27.0,Cherbourg,"Dowagiac, Michigan, US",3
255,257,1,1,female,0,0,37.0,Cherbourg,"New York, New York, US",1
256,258,1,1,female,0,0,30.0,Southampton,"Vancouver, British Columbia, Canada",1
257,259,1,1,female,0,0,38.0,Cherbourg,"Germantown, Pennsylvania, US",1
258,260,1,2,female,0,1,60.0,Southampton,"Woodford County, Kentucky, US",2
259,261,0,3,male,0,0,26.0,Queenstown,"Hammond, Indiana, US",3
260,262,1,3,male,4,2,3.0,Southampton,"Worcester, Massachusetts, US",3
261,263,0,1,male,1,1,52.0,Southampton,"New York, New York, US",1
262,264,0,1,male,0,0,45.0,Southampton,"New York, New York, US",1
263,265,0,3,female,0,0,23.0,Queenstown,"Boston, Massachusetts, US",3
264,266,0,2,male,0,0,36.0,Southampton,New York City,2
265,267,0,3,male,4,1,16.0,Southampton,"Coal Center, Pennsylvania, US",3
266,268,1,3,male,1,0,25.0,Southampton,"Indianapolis, Indiana, US",3
267,269,1,1,female,0,1,59.0,Southampton,"Greenwich, Connecticut, US",1
268,270,1,1,female,0,0,39.0,Cherbourg,"New York, New York, US",1
269,271,0,1,male,0,0,28.0,Southampton,"Bryn Mawr, Pennsylvania, US",1
270,272,1,3,male,0,0,25.0,Southampton,New York City,3
271,273,1,2,female,0,1,41.0,Southampton,"Bennington, Vermont, US",2
272,274,0,1,male,0,1,36.0,Cherbourg,"Brooklyn, New York, US",1
273,275,1,3,female,0,0,29.0,Queenstown,New York City,3
274,276,1,1,female,1,0,62.0,Cherbourg,"Hudson, New York, US",1
275,277,0,3,female,0,0,45.0,Southampton,"Stratford, Connecticut, US",3
276,278,0,2,male,0,0,18.0,Belfast,New York City,2
277,279,0,3,male,4,1,7.0,Queenstown,"Spokane, Washington, US",3
278,280,1,3,female,1,1,39.0,Southampton,"East Providence, Rhode Island, US",3
279,281,0,3,male,0,0,65.0,Queenstown,"Morris Plains, New Jersey, US",3
280,282,0,3,male,0,0,28.0,Southampton,New York City,3
281,283,0,3,male,0,0,16.0,Southampton,"Gladstone, Michigan, US",3
282,284,1,3,male,0,0,18.0,Southampton,"Oglesby, Illinois, US",3
283,285,0,1,male,0,0,57.0,Southampton,"New York, New York, US",1
284,286,0,3,male,0,0,33.0,Cherbourg,New York City,3
285,287,1,3,male,0,0,36.0,Southampton,"Detroit, Michigan, US",3
286,288,0,3,male,0,0,22.0,Southampton,"Chicago, Illinois, US",3
287,289,1,2,male,0,0,41.0,Southampton,"Tokyo, Japan",2
288,290,1,3,female,0,0,22.0,Queenstown,New York City,3
289,291,1,1,female,0,0,26.0,Southampton,"New York, New York, US",1
290,292,1,1,female,1,0,19.0,Cherbourg,"Dowagiac, Michigan, US",1
291,293,0,2,male,0,0,36.0,Cherbourg,"Montreal, Quebec, Canada",2
292,294,0,3,female,0,0,24.0,Southampton,"Chicago, Illinois, US",3
293,295,0,3,male,0,0,24.0,Southampton,"Coon Rapids, Iowa, US",3
294,296,0,1,male,0,0,31.0,Cherbourg,"Chicago, Illinois, US",1
295,297,0,3,male,0,0,35.0,Cherbourg,"Ottawa, Ontario, Canada",3
296,298,0,1,female,1,2,2.0,Southampton,"Montreal, Quebec, Canada",1
297,299,1,1,male,0,0,47.0,Southampton,"New York, New York, US",1
298,300,1,1,female,0,1,50.0,Cherbourg,"Montreal, Quebec, Canada",1
299,301,1,3,female,0,0,20.0,Queenstown,"Chicago, Illinois, US",3
300,302,1,3,male,2,0,24.0,Queenstown,"Brooklyn, New York, US",3
301,303,0,3,male,0,0,19.0,Southampton,New York City,3
302,304,1,2,female,0,0,46.0,Queenstown,"Harrisburg, Pennsylvania, US",2
303,305,0,3,male,0,0,28.0,Southampton,New York City,3
304,307,1,1,female,0,0,42.0,Cherbourg,"Haverford, Pennsylvania, US",1
305,308,1,1,female,1,0,22.0,Cherbourg,"New York, New York, US",1
306,309,0,2,male,1,0,30.0,Cherbourg,"New York, New York, US",2
307,310,1,1,female,0,0,31.0,Cherbourg,"New York, New York, US",1
308,311,1,1,female,0,0,24.0,Cherbourg,"New York, New York, US",1
309,312,1,1,female,2,2,18.0,Cherbourg,"Cooperstown, New York, US",1
310,313,0,2,female,1,1,26.0,Southampton,"Minneapolis, Minnesota, US",2
311,314,0,3,male,0,0,28.0,Southampton,"Harrisburg, Pennsylvania, US",3
312,315,0,2,male,1,1,47.0,Southampton,"Winnipeg, Manitoba, Canada",2
313,316,1,3,female,0,0,26.0,Southampton,"Joliet, Illinois, US",3
314,317,1,2,female,1,0,24.0,Southampton,"Bronx, New York, US",2
315,318,0,2,male,0,0,54.0,Southampton,"Frankfort, Kentucky, US",2
316,319,1,1,female,0,2,31.0,Southampton,"Youngstown, Ohio, US",1
317,320,1,1,female,1,1,39.0,Cherbourg,"Tuxedo Park, New York, US",1
318,321,0,3,male,0,0,22.0,Southampton,"Saskatoon, Saskatchewan, Canada",3
319,322,0,3,male,0,0,27.0,Southampton,"Chicago, Illinois, US",3
320,323,1,2,female,0,0,30.0,Queenstown,"Vancouver, British Columbia, Canada",2
321,324,1,2,female,1,1,28.0,Southampton,"Roseville, Illinois, US",2
322,325,0,3,male,8,2,19.0,Southampton,"Jacksonville, Florida, US",3
323,326,1,1,female,0,0,36.0,Cherbourg,"New York, New York, US",1
324,327,0,3,male,0,0,61.0,Southampton,"Grand Forks, North Dakota, US",3
325,328,1,2,female,0,0,36.0,Southampton,"Jacksonville, Florida, US",2
326,329,1,3,female,1,1,31.0,Southampton,"Detroit, Michigan, US",3
327,330,1,1,female,0,1,17.0,Cherbourg,"Chicago, Illinois, US",1
328,331,1,3,female,2,0,29.0,Queenstown,"Brooklyn, New York, US",3
329,332,0,1,male,0,0,40.0,Southampton,"Toronto, Ontario, Canada",1
330,333,0,1,male,0,1,38.0,Southampton,"Winnipeg, Manitoba, Canada",1
331,334,0,3,male,2,0,15.0,Southampton,"Fremont, Ohio, US",3
332,335,1,1,female,1,0,42.0,Southampton,"New York, New York, US",1
333,336,0,3,male,0,0,30.0,Southampton,"Coon Rapids, Iowa, US",3
334,337,0,1,male,1,0,29.0,Southampton,"New York, New York, US",1
335,338,1,1,female,0,0,41.0,Cherbourg,"Tuxedo Park, New York, US",1
336,339,1,3,male,0,0,45.0,Southampton,"Fingal, North Dakota, US",3
337,340,0,1,male,0,0,45.0,Southampton,"Trenton, New Jersey, US",1
338,341,1,2,male,1,1,2.0,Southampton,New York City,2
339,342,1,1,female,3,2,24.0,Southampton,"Winnipeg, Manitoba, Canada",1
340,343,0,2,male,0,0,27.0,Southampton,"Ashtabula, Ohio, US",2
341,344,0,2,male,0,0,25.0,Southampton,"Minatitl?, Veracruz, Mexico",2
342,345,0,2,male,0,0,38.0,Southampton,"Rochester, New York, US",2
343,346,1,2,female,0,0,18.0,Southampton,"Montreal, Quebec, Canada",1
344,347,1,2,female,0,0,39.0,Southampton,"Washington, DC US",2
345,349,1,3,male,1,1,9.0,Southampton,"Brooklyn, New York, US",3
346,350,0,3,male,0,0,42.0,Southampton,"Red Lodge, Montana, US",3
347,351,0,3,male,0,0,23.0,Southampton,"Peoria, Illinois, US",3
348,352,0,1,male,0,0,43.0,Southampton,"Newark, New Jersey, US",1
349,353,0,3,male,1,1,17.0,Cherbourg,"Ottawa, Ontario, Canada",3
350,354,0,3,male,1,0,25.0,Southampton,"New Glarus, Wisconsin, US",3
351,355,0,3,male,0,0,25.0,Cherbourg,New York City,3
352,356,0,3,male,0,0,28.0,Southampton,New York City,3
353,357,1,1,female,0,1,22.0,Southampton,"New York, New York, US",1
354,358,0,2,female,0,0,38.0,Southampton,"Bally, Pennsylvania, US",2
355,359,1,3,female,0,0,22.0,Queenstown,New York City,3
356,360,1,3,female,0,0,23.0,Queenstown,New York City,3
357,361,0,3,male,1,4,40.0,Southampton,"Iron Mountain, Michigan, US",3
358,362,0,2,male,1,0,29.0,Cherbourg,"Chicago, Illinois, US",2
359,363,0,3,female,0,1,45.0,Cherbourg,"Ottawa, Ontario, Canada",3
360,364,0,3,male,0,0,35.0,Southampton,New York City,3
361,365,0,3,male,1,0,27.0,Queenstown,"Chicago, Illinois, US",3
362,366,0,3,male,0,0,30.0,Southampton,"Brooklyn, New York, US",3
363,367,1,1,female,1,0,60.0,Cherbourg,"Portland, Oregon, US",1
364,368,1,3,female,0,0,35.0,Cherbourg,"Wilkes-Barre, Pennsylvania, US",3
365,369,1,3,female,0,0,26.0,Queenstown,"East Lynn, Massachusetts, US",3
366,370,1,1,female,0,0,24.0,Cherbourg,"New York, New York, US",1
367,371,1,1,male,1,0,25.0,Cherbourg,"New York, New York, US",1
368,372,0,3,male,1,0,18.0,Southampton,"Montreal, Quebec, Canada",3
369,373,0,3,male,0,0,18.0,Southampton,"Russell, US",3
370,374,0,1,male,0,0,22.0,Cherbourg,"New York, New York, US",1
